X,Y,walkability
9454629.14405693,7651090.97043839,0
9454629.14405693,7651085.97043839,0
9454629.14405693,7651080.97043839,0
9454629.14405693,7651075.97043839,0
9454629.14405693,7651070.97043839,0
9454629.14405693,7651065.97043839,0
9454629.14405693,7651060.97043839,0
9454629.14405693,7651055.97043839,0
9454629.14405693,7651050.97043839,0
9454629.14405693,7651045.97043839,0
9454629.14405693,7651040.97043839,0
9454629.14405693,7651035.97043839,0
9454629.14405693,7651030.97043839,0
9454629.14405693,7651025.97043839,0
9454629.14405693,7651020.97043839,0
9454629.14405693,7651015.97043839,0
9454629.14405693,7651010.97043839,0
9454629.14405693,7651005.97043839,0
9454629.14405693,7651000.97043839,0
9454629.14405693,7650995.97043839,0
9454629.14405693,7650990.97043839,0
9454629.14405693,7650985.97043839,0
9454629.14405693,7650980.97043839,0
9454629.14405693,7650975.97043839,0
9454629.14405693,7650970.97043839,0
9454629.14405693,7650965.97043839,0
9454629.14405693,7650960.97043839,0
9454629.14405693,7650955.97043839,0
9454629.14405693,7650950.97043839,0
9454629.14405693,7650945.97043839,0
9454629.14405693,7650940.97043839,0
9454629.14405693,7650935.97043839,0
9454629.14405693,7650930.97043839,0
9454629.14405693,7650925.97043839,0
9454629.14405693,7650920.97043839,0
9454629.14405693,7650915.97043839,0
9454629.14405693,7650910.97043839,0
9454629.14405693,7650905.97043839,0
9454629.14405693,7650900.97043839,0
9454629.14405693,7650895.97043839,0
9454629.14405693,7650890.97043839,0
9454629.14405693,7650885.97043839,0
9454629.14405693,7650880.97043839,0
9454629.14405693,7650875.97043839,0
9454629.14405693,7650870.97043839,0
9454634.14405693,7654720.97043839,0
9454634.14405693,7654715.97043839,0
9454634.14405693,7654710.97043839,0
